Name,Subtitle,Color,Price,Sale Price,Link
Nike Challenger,Men's 2-in-1 Running Shorts,6 Colors,$45,,https://www.nike.com/t/challenger-mens-2-in-1-running-shorts-WQFZ6Q/CZ9060-657
Nike Dri-FIT UV,Men's Standard Fit Golf Chino Pants,7 Colors,$85,,https://www.nike.com/t/dri-fit-uv-mens-standard-fit-golf-chino-pants-nQJ9mg/DA4089-387
Nike Pro Dri-FIT,Men's Tank,7 Colors,$35,,https://www.nike.com/t/pro-dri-fit-mens-tank-mzxgJr/CZ1184-451
Nike Dri-FIT Player,Men's 1/2-Zip Golf Top,4 Colors,$100,,https://www.nike.com/t/dri-fit-player-mens-1-2-zip-golf-top-RqGHkb/CU9826-387
Nike Yoga,Men's Pants,4 Colors,$67.97,,https://www.nike.com/t/yoga-mens-pants-FCVVZG/CU6782-410
Nike Wild,"Men's Packable 7"" Volley Short",2 Colors,$64,,https://www.nike.com/t/wild-mens-packable-7-volley-short-nfV9H7/NESSC513-814
Nike x UNDERCOVER,Long-Sleeve Shooting Top,1 Color,$150,,https://www.nike.com/t/undercover-long-sleeve-shooting-top-R6Pswn/CW8014-611
Nike Storm-FIT Run Division Phenom Elite Flash,Men's Running Pants,2 Colors,$100,,https://www.nike.com/t/storm-fit-run-division-phenom-elite-flash-mens-running-pants-RCHNB2/DD6127-437
Nike Sportswear Club,Men's French Terry Hoodie,3 Colors,$70.97,,https://www.nike.com/t/sportswear-club-mens-french-terry-hoodie-zHSNdX/DO6163-629
Nike Sportswear Club,Men's Pullover Hoodie,1 Color,$75,,https://www.nike.com/t/sportswear-club-mens-pullover-hoodie-q0x7Ps/DO6176-010
Nike,Men's T-Shirt,4 Colors,$30,,https://www.nike.com/t/mens-t-shirt-T6Zc9V/M11332P122N-41S
Nike Yoga Dri-FIT,Men's Graphic T-Shirt,3 Colors,$35,,https://www.nike.com/t/yoga-dri-fit-mens-graphic-t-shirt-Kkmbhc/DD6925-010
NikeCourt Slam,Men's Tennis Polo,3 Colors,$100,,https://www.nike.com/t/nikecourt-slam-mens-tennis-polo-QskPWP/DD8309-100
Tiger Woods,Men's Knit Golf Sweater,5 Colors,$130,,https://www.nike.com/t/tiger-woods-mens-knit-golf-sweater-XlMQrh/CU9782-451
Nike Dri-FIT Victory,Men's Golf Polo,7 Colors,$55,,https://www.nike.com/t/dri-fit-victory-mens-golf-polo-Cn8XgJ/BV6235-010
Nike Dri-FIT,Men's Running T-Shirt,3 Colors,$28.97,,https://www.nike.com/t/dri-fit-mens-running-t-shirt-0X7STF/DD4470-063
Nike Essential,Men's Long-Sleeve Hydroguard Swim Shirt,1 Color,$44,,https://www.nike.com/t/essential-mens-long-sleeve-hydroguard-swim-shirt-5nm7ZD/NESSA587-100
Jordan Dri-FIT Air,Men's Diamond Allover Printed Shorts,1 Color,$55,,https://www.nike.com/t/jordan-dri-fit-air-mens-diamond-allover-printed-shorts-KBxg43/DD0850-010
Nike Sportswear,Men's Overshirt,2 Colors,$95,,https://www.nike.com/t/sportswear-mens-overshirt-Q5ql7Q/DM5273-050
Nike Sportswear,Men's T-Shirt,1 Color,$28.97,,https://www.nike.com/t/sportswear-mens-t-shirt-2l020l/CN1427-010
Nike AeroSwift,"Men's 2"" Running Shorts",4 Colors,$53.97,,https://www.nike.com/t/aeroswift-mens-2-running-shorts-5qt7L7/CJ7837-639
Nike Sportswear Fantasy Creature,Men's Hoodie,2 Colors,$65,,https://www.nike.com/t/sportswear-fantasy-creature-mens-hoodie-2tmLLg/DM2249-133
Nike Dri-FIT Victory,Men's Printed Golf Polo,8 Colors,$55,,https://www.nike.com/t/dri-fit-victory-mens-printed-golf-polo-3HlqLP/CU9843-017
Nike Sportswear,Men's T-Shirt,11 Colors,$25,,https://www.nike.com/t/sportswear-mens-t-shirt-WMplNS/AR4993-657
Jordan Brand,Men's Short-Sleeve Allover Printed T-Shirt,3 Colors,$40,,https://www.nike.com/t/jordan-brand-mens-short-sleeve-allover-printed-t-shirt-GXW15v/DC9801-010
Nike Everyday Plus Cushioned,Ankle Socks,3 Colors,$18,,https://www.nike.com/t/everyday-plus-cushioned-ankle-socks-S9zVnP/DH6304-902
Jordan New York City,Men's Pullover Hoodie,2 Colors,$60,,https://www.nike.com/t/jordan-new-york-city-mens-pullover-hoodie-p0QRNZ/DD8068-091
Nigeria,Men's Woven Skate Top,1 Color,$75,,https://www.nike.com/t/nigeria-mens-woven-skate-top-KmFv15/CU1417-100
Nike Yoga,Men's 2-in-1 Shorts,10 Colors,$70,,https://www.nike.com/t/yoga-mens-2-in-1-shorts-rmtzVN/DC5320-217
Nike Dri-FIT Elite Stripe,Men's Basketball Shorts,7 Colors,$40.97,,https://www.nike.com/t/dri-fit-elite-stripe-mens-basketball-shorts-T5Pssx/CV1748-101
Nike Dri-FIT Chicago Miler,Men's Short-Sleeve Running Top,2 Colors,$30.97,,https://www.nike.com/t/dri-fit-chicago-miler-mens-short-sleeve-running-top-cC5QTd/DN6512-010
Nike ACG,Men's T-Shirt,2 Colors,$40,,https://www.nike.com/t/acg-mens-t-shirt-64ddhd/DJ3642-121
Jordan 23 Engineered,Men's Fleece Pants,2 Colors,$150,,https://www.nike.com/t/jordan-23-engineered-mens-fleece-pants-FGnlXL/DC9632-387
Nike,Men's Hockey Jersey,3 Colors,$140,,https://www.nike.com/t/mens-hockey-jersey-08XK7H/P34235J418-CAN
Nike F.C.,Men's Woven Soccer Jacket,1 Color,$90,,https://www.nike.com/t/fc-mens-woven-soccer-jacket-2NrB8N/CZ0999-492
Nike,Men's Square Leg Swim Jammer,3 Colors,$50,,https://www.nike.com/t/mens-square-leg-swim-jammer-qmqtgm/NESSA006-440
Nike Sportswear Tech Fleece,Men's Washed Joggers,4 Colors,$113.97,,https://www.nike.com/t/sportswear-tech-fleece-mens-washed-joggers-4KR10t/CZ9918-424
Nike Dri-FIT DNA 3.0,Men's Basketball Shorts,9 Colors,$42.97,,https://www.nike.com/t/dri-fit-dna-3-mens-basketball-shorts-Pg98XL/DA5844-548
"Nike Dri-FIT ""HWPO""",Men’s Training T-Shirt,4 Colors,$30,,https://www.nike.com/t/dri-fit-hwpo-mens-training-t-shirt-BvHk1T/DA1594-657
Nike Dri-FIT,Men's Graphic Training T-Shirt,3 Colors,$25,,https://www.nike.com/t/dri-fit-mens-graphic-training-t-shirt-DHS3DS/DM5671-455
Nike Everyday Cotton Stretch,Men's Boxer Briefs (3-Pack),4 Colors,$28.97,,https://www.nike.com/t/everyday-cotton-stretch-mens-boxer-briefs-3-pack-vRjq5Z/KE1107-410
Nike Sportswear,Men's Long-Sleeve T-Shirt,4 Colors,$35,,https://www.nike.com/t/sportswear-mens-long-sleeve-t-shirt-qwrWHM/CI6291-451
Nike,Men's Football Polo,13 Colors,$40,,https://www.nike.com/t/mens-football-polo-VM3h6F/CT4581-891
Nike Sportswear,Men's T-Shirt,2 Colors,$26.97,,https://www.nike.com/t/sportswear-mens-t-shirt-5005p3/DD1272-800
Nike Dri-FIT Vapor,Men's Golf Polo,4 Colors,$75,,https://www.nike.com/t/dri-fit-vapor-mens-golf-polo-pGxCd1/CU9531-451
